,name,price,img,about,ing,category
"Fresho Onion, 1 kg","Fresho Onion, 1 kg",29,https://www.bigbasket.com/media/uploads/p/s/10000148_28-fresho-onion.jpg,"
            Onion is a vegetable which is almost like a staple in Indian food. This is also known to be one of the essential ingredients of raw salads. They come in different colours like white, red or yellow and are quite in demand in cold salads and hot soups. You can dice, slice or cut it in rings and put it in burgers and sandwiches. Onions emit a sharp flavour and fragrance once they are fried; it is due to the sulphur compound in the vegetable.
        ","Fresho Onion, 1 kg",FRESH VEGETABLES
"Fresho Onion - Medium, 2 kg","Fresho Onion - Medium, 2 kg",70,https://www.bigbasket.com/media/uploads/p/s/10000149_13-fresho-onion-medium.jpg,"
            Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.
        ","Fresho Onion - Medium, 2 kg",FRESH VEGETABLES
"Fresho Onion, 5 kg","Fresho Onion, 5 kg",195,https://www.bigbasket.com/media/uploads/p/s/10000150-4_2-fresho-onion.jpg,"
            Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/ 
","Fresho Onion, 5 kg",FRESH VEGETABLES
"Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg","Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg",55,https://www.bigbasket.com/media/uploads/p/s/10000152-3_5-fresho-papaya-medium.jpg,"
            Semi ripe papayas have blend of sweet buttery consistency and sour taste. They are half green and half yellow. Ripe papaya have orange flesh and black coloured seeds at the centre. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/557/raw-papaya-and-coconut-curry/ 
","Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg",FRESH FRUITS
"Fresho Parsley Leaves - Curly, 100 g","Fresho Parsley Leaves - Curly, 100 g",20,https://www.bigbasket.com/media/uploads/p/s/10000154-3_1-fresho-parsley-leaves-curly.jpg,"
            With a mild taste and a pleasant grassy flavor, Parsley is a fresh herb with dark-green curled leaves that resemble coriander leaves. It has decorative ruffled leaves that make it the perfect garnishing option.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1946/strawberry-quinoa-salad/ 
","Fresho Parsley Leaves - Curly, 100 g",HERBS & SEASONINGS
"Fresho Parsley Leaves - Curly, 250 g","Fresho Parsley Leaves - Curly, 250 g",27,https://www.bigbasket.com/media/uploads/p/s/10000155-3_1-fresho-parsley-leaves-curly.jpg,"
            With a mild taste and a pleasant grassy flavor, Parsley is a fresh herb with dark-green curled leaves that resemble coriander leaves. It has decorative ruffled leaves that make it the perfect garnishing option.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1946/strawberry-quinoa-salad/ 
","Fresho Parsley Leaves - Curly, 250 g",HERBS & SEASONINGS
"Fresho Pineapple, 1 pc 750-800","Fresho Pineapple, 1 pc 750-800",52,https://www.bigbasket.com/media/uploads/p/s/10000156-4_2-fresho-pineapple.jpg,"
            With the shape of a pine cone, the fruit is loosely fibrous and juicy with white to yellowish flesh. The edible center part is firm, leathery and sweet.   Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/ 
","Fresho Pineapple, 1 pc 750-800",FRESH FRUITS
"Fresho Pak Choi, 500 g","Fresho Pak Choi, 500 g",30,https://www.bigbasket.com/media/uploads/p/s/10000158_14-fresho-pak-choi.jpg,"
            Pak Choi is a chinese celery cabbage with crisp leaves and stalk. Its flavour is somewhat a mix of mild cabbage and spinach.
        ","Fresho Pak Choi, 500 g",EXOTIC FRUITS & VEGGIES
"Fresho Potato, 1 kg","Fresho Potato, 1 kg",33,https://www.bigbasket.com/media/uploads/p/s/10000159-3_3-fresho-potato.jpg,"
            Fresho Potatoes are nutrient-dense, non-fattening and have reasonable amount of calories. Include them in your regular meals so that the body receives a good supply of carbohydrates, dietary fibers and essential minerals such as copper, magnesium, and iron. In India, potatoes are probably the second-most consumed vegetables after onions. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/ 
","Fresho Potato, 1 kg",FRESH VEGETABLES
"Fresho Pumpkin - Green, 1 kg","Fresho Pumpkin - Green, 1 kg",31,https://www.bigbasket.com/media/uploads/p/s/10000162-4_2-fresho-pumpkin-green.jpg,"
            Green pumpkins are round with slightly ribbed, deep green skin. Their flesh are creamish to light green, flat, edible seeds (pepitas) which are tender and mildly sweet. 
 Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/736/pumpkin-barfi/ 
","Fresho Pumpkin - Green, 1 kg",FRESH VEGETABLES
"Fresho Pumpkin - Green, 500 g","Fresho Pumpkin - Green, 500 g",16,https://www.bigbasket.com/media/uploads/p/s/10000163-4_2-fresho-pumpkin-green.jpg,"
            Green pumpkins are round with slightly ribbed, deep green skin. Their flesh are creamish to light green, flat, edible seeds (pepitas) which are tender and mildly sweet. 
 Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/736/pumpkin-barfi/ 
","Fresho Pumpkin - Green, 500 g",FRESH VEGETABLES
"Fresho Radish - White, 1 kg","Fresho Radish - White, 1 kg",27,https://www.bigbasket.com/media/uploads/p/s/10000164-4_2-fresho-radish-white.jpg,"
            Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/ 
","Fresho Radish - White, 1 kg",FRESH VEGETABLES
"Fresho Radish - White, 250 g","Fresho Radish - White, 250 g",8,https://www.bigbasket.com/media/uploads/p/s/10000165-4_2-fresho-radish-white.jpg,"
            Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/ 
","Fresho Radish - White, 250 g",FRESH VEGETABLES
