,name,about,category,ing,score
0,"Fresho Onion, 1 kg",onion vegetable almost like staple indian food also known one essential ingredients raw salads come different colours like white red yellow quite demand cold salads hot soups dice slice cut rings put burgers sandwiches onions emit sharp flavour fragrance fried due sulphur compound vegetable,FRESH VEGETABLES,"Fresho Onion, 1 kg",1
1,"Fresho Onion - Medium, 2 kg",onion fill kitchen thick spicy aroma common base vegetable indian dishes thanks wonderful flavor adds dish,FRESH VEGETABLES,"Fresho Onion - Medium, 2 kg",0
2,"Fresho Onion, 5 kg",onion fill kitchen thick spicy aroma common base vegetable indian dishes thanks wonderful flavor adds dish product image shown representation purpose actually product may vary based season produce availability click delicious vegetable recipes https www bigbasket com flavors collections 227 fresh vegetables,FRESH VEGETABLES,"Fresho Onion, 5 kg",0
3,"Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg",semi ripe papayas blend sweet buttery consistency sour taste half green half yellow ripe papaya orange flesh black coloured seeds centre forget check delicious fruit recipe https www bigbasket com cookbook recipes 557 raw papaya coconut curry,FRESH FRUITS,"Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg",2
4,"Fresho Parsley Leaves - Curly, 100 g",mild taste pleasant grassy flavor parsley fresh herb dark green curled leaves resemble coriander leaves decorative ruffled leaves make perfect garnishing option forget check delicious recipe https www bigbasket com cookbook recipes 1946 strawberry quinoa salad,HERBS & SEASONINGS,"Fresho Parsley Leaves - Curly, 100 g",2
5,"Fresho Parsley Leaves - Curly, 250 g",mild taste pleasant grassy flavor parsley fresh herb dark green curled leaves resemble coriander leaves decorative ruffled leaves make perfect garnishing option forget check delicious recipe https www bigbasket com cookbook recipes 1946 strawberry quinoa salad,HERBS & SEASONINGS,"Fresho Parsley Leaves - Curly, 250 g",2
6,"Fresho Pineapple, 1 pc 750-800",shape pine cone fruit loosely fibrous juicy white yellowish flesh edible center part firm leathery sweet forget check delicious fruit recipe https www bigbasket com cookbook recipes 865 american pineapple upside cake egg free,FRESH FRUITS,"Fresho Pineapple, 1 pc 750-800",0
7,"Fresho Pak Choi, 500 g",pak choi chinese celery cabbage crisp leaves stalk flavour somewhat mix mild cabbage spinach,EXOTIC FRUITS & VEGGIES,"Fresho Pak Choi, 500 g",0
8,"Fresho Potato, 1 kg",fresho potatoes nutrient dense non fattening reasonable amount calories include regular meals body receives good supply carbohydrates dietary fibers essential minerals copper magnesium iron india potatoes probably second consumed vegetables onions click delicious vegetable recipes https www bigbasket com flavors collections 227 fresh vegetables,FRESH VEGETABLES,"Fresho Potato, 1 kg",0
9,"Fresho Pumpkin - Green, 1 kg",green pumpkins round slightly ribbed deep green skin flesh creamish light green flat edible seeds pepitas tender mildly sweet forget check delicious recipe https www bigbasket com cookbook recipes 736 pumpkin barfi,FRESH VEGETABLES,"Fresho Pumpkin - Green, 1 kg",2
10,"Fresho Pumpkin - Green, 500 g",green pumpkins round slightly ribbed deep green skin flesh creamish light green flat edible seeds pepitas tender mildly sweet forget check delicious recipe https www bigbasket com cookbook recipes 736 pumpkin barfi,FRESH VEGETABLES,"Fresho Pumpkin - Green, 500 g",2
